"The Swedish Act on Municipal Energy Planning was written in 1977 in a time of energy crisis and requires each municipality to have a plan for rational supply and distribution of energy. With regards to the on-going climate change however, there is a need for energy planning to emphasise on shifting towards an efficient energy system with high share of renewables, and low impacts on the climate and the environment.The legislation is therefore argued to be outdated and is currently under review. This study shows that most municipalities are working with the energy issue, as 71% have adopted a policy document with focus on energy and climate. However, 41% has not adopted an energy plan as referred to in the Act on municipal energy planning.The results show that the energy strategies have a wider focus than what is stated in the legislation, which strengthens the view that the legislation can be regarded as outdated. Energy Strategies however still have an important function at the municipal level, as they can help to integrate energy aspects into spatial planning, as well as function as support for the daily energy and climate work in the choice of strategies and measures.The study further shows that the use of Strategic Environmental Assessment has potential to increase the consideration of environmental quality objectives, especially those that might be impacted from the energy plans, but the use of it has been fairly limited and only conducted in 6% of the energy plans. It is therefore recommended that the Act on Municipal Energy Planning is revised to instead include requirements for municipal energy and climate strategies, and that they are made subject to Strategic Environmental Assessment, thus promoting a transition to a sustainable energy system, where environmental objectives are taken into account and possible conflicts can be addressed early in the planning process.",Energy and Environment
"The importance of energy conservation in all the aspects of energy production, transportation, distribution and utilisation should not be underestimated. A special attention to that is paid since the oil crisis in 70’s of the last century. Today energy efficiency has increased considerably, but there is still a potential for energy savings. This potential is widely spread in power plants, energy supply systems, factories, plants, agricultural and residential facilities.In the countries in transition, such as former socialist countries, energy saving policies have started not so long time ago and a lot of work is to be done in order to improve energy efficiency and approach the level of developed countries. In Moldova, the energy sector is one of the most problematic parts of the national economy. 98% of the primary energy resources are imported, which complicates very much energy security in the state.Some internal problems, such as lack of investments in the sector, old and inefficient facilities, uncontrolled and unpaid energy consumption, internal social and political instability create additional difficulties in improving this situation. Industry and residential sector consume the highest amount of the supplied energy. It is obvious that improved energy efficiency in these sectors could lead to big energy savings. Reduction in energy consumption will favourably influence the impact of the energy sector on the environment.The present work aims at identifying energy saving potential in the industrial and residential facilities in Moldova. Interdependence between energy and environment, the positive influence of reduced energy consumption on the environment is shown. Future development strategies and energy resources potential are also discussed.A brief history overview of Moldova and of the energy sector development are presented for a better understanding of the particularities and reasons of the present situation. This is followed by a description of the energy sector in Moldova, its infrastructure and economy, the problems to pass and energy security objectives. In the following part, energy and environment issues are discussed and the way energy conservation influences environmental impact. Environmental aspects of energy use, policy, legislation and institutions in Moldova are also described. Energy Conservation Programme is presented concluding this part.Energy utilisation sector, with deeper analysis of industrial and residential parts is overviewed in the main part of the study. Energy conservation measures are discussed in case studies and the energy savings potential is shown.Scenarios and strategies for future development of the energy system of Moldova are described as a result of the study. Conclusions and further work suggestions are made.",Energy and Environment
"The main aim of this study is to compare actual power production from an existing wind farm with power production prediction by WindSim, which is a CFD tool based on the nonlinear flow model. The wind farm that is being worked on is located in Northern Sweden and has high orographic complexity with forested hilly terrain.There is 1 year record of met-mast wind measurements and nearly 2 years record of production data.Firstly roughness and height contours data are put as an input in order to simulate and generate wind fields over the complex terrain. In addition forest model is used to get more detailed roughness height.After generating wind fields existing turbine locations and 1-year wind speed measurement are imported.The results show that how accurate are the CFD calculations to solve turbulence in a complex terrain. Comparison between actual production data with energy production results by simulations is the main approach of this thesis work to validate the simulations.The results indicate that both WAsP and WindSim have overestimated energy production and wind speed as well. However particularly with WindSim forest module CFD calculations have more accurate results than without forest module and WAsP estimations.",Energy and Environment
"The European Union has set environmental targets on climate change in three areas: energy efficiency, renewable energy sources, and reduction of emissions. These targets are the main driver for the change in today’s power system. The defined targets do not only affect the production and distribution of electricity but also raise questions on how electricity is being consumed.An essential building block of an efficient power system is often referred to as the smart grid. One of the important components of a smart grid is dynamic market models that facilitate demand response. Residential customers account for a relatively large portion of the total electricity consumption in Europe but relatively little is known about dynamic market models used in the residential sector. Pilot projects concerning dynamic market models have been conducted, but there is a lack of common evaluation methods to assess them.This report investigates how pilot projects concerning demand response can be evaluated and presents a compilation of 135 international pilot projects and their results. The evaluations methods and findings from the international compilation are then applied to assess the proposed dynamic market model for the Stockholm Royal Seaport.Four evaluation criterions have been identified. The first relates to the demand response resource that is being studied and its impact on the results of the pilot project. Secondly, design principles of the pilot project must be considered. Thirdly, the division of costs and benefits among stakeholders must be calculated. Lastly, the precision of these measures must be taken into consideration.The compilation of international pilot projects reveals that dynamic markets models are often combined with modern technology. Combinations of market models, feedback and technology have an impact on overall electricity conservation and peak reduction. The reductions also depend on what electrical appliances are being used by the household members and their willingness to change their behavior. Customer acceptance is generally large among participants in pilot projects concerning dynamic market models.The hypothesis for the Stockholm Royal Seaport, in which five to fifteen percent of the load can be shifted from peak hours to off-peak hours with the proposed market model for the Stockholm Royal Seaport, is estimated to be reasonable. Load shift would lead to savings in the range between 64 – 266 SEK per year, which accounts for 1 – 4 % in bill savings. If the proposed dynamic market model is compared to fixed one month contracts, which includes retail price and fixed network tariffs, the bill savings were estimated to have been 563-766 SEK in year 2010. This corresponds to bill savings in the range of 8 – 11 %.",Energy and Environment
"The report investigates the feasibility of accessing waste heat at kiln 7 in the Cementa AB cement plant in Slite, Gotland. The background is provided, with a description of the cement manufacturing process.Most of the report concerns itself with the heat transfer capabilities of the plant, therefore a short description of the heat flow within the most essential equipment is provided.The investigation follows a set of steps to derive the conclusion. The first step investigates previous studies to obtain the three most feasible heat sources. The second step investigates the available heat of the selected sources.In the third step, accessing the source is discussed and investigated for both convection and radiation heat transfer methods. It also includes the sizing of the required heat exchangers. Using the new sources, the connection possibilities to existing infrastructure and its benefits are investigated in step four.The connections were made to the existing infrastructure used at kiln 8 for electrical generation and district heating supply. The selections of the most feasible solutions are provided based on heat recovery, payback period and practicality. The final step in the study provides for the final design, which consists of three possible connections or all of them combined.In the conclusion, the final design would provide for a reduction in oil burned, fuel consumption and CO2 emissions and an increase in electricity generated by the existing system. It is recommended that only one of the three connections be installed.",Energy and Environment
"The island of Malta is highly reliant on fossil fuels for its power (99%), and due to climate mitigation policies implemented by EU the Maltese government is required to have 10% of its power generation from renewables by 2020.To achieve these energy goals, the Maltese government has expressed interest in investing on a Hexicon platform to produce 9% of the Maltese energy demand. The Hexicon platform is a floating structure capable of carrying a wide range of renewable energy generators. The Hexicon platform proposed for Malta is meant to have a rated capacity of 54MW distributed by vertical and horizontal wind energy converters.Nevertheless, due to the irregular nature of wind the Hexicon platform would still use diesel generators on-board as backup power; this inherently defeats the purpose of the Maltese investment, and therefore a Hydrogen backup system was proposed and investigated for its technical and economic viability.A literature study was carried out on renewable hydrogen system in order to familiarise with the type of markets and the best way to apply the technology to the scenario at hand. Four markets were established, small-scale, transportation, stand-alone power systems, and large buffering systems; the large buffering system is the most appropriate for the study, and taking this type of system into account, the most appropriate hydrogen generation and utilisation system were then identified. It was established that the system is composed of three parts, electrolyser, storage tanks and fuel cells stacks.However, an additional water purification system is necessary; this is due to the fact that the Hexicon platform will be located offshore, and salt water is not appropriate for the electrolyser. A literature study was then performed to identify the most appropriate equipment for each stage of the process; it was established that a Reverse Osmosis (RO) system will be used to purify the water, an alkaline electrolyser will be used to generate the Hydrogen, the Hydrogen will then be stored in pressure vessels (at 30bar), thus also requiring compressors, and the recovery of energy will be performed by a proton exchange membrane (PEM) fuel cell (FC) stack.A study was carried out to establish the models to use for each equipment, and based on the hourly demand for Malta, as well as the hourly winds, a first estimate of the size of each equipment was established. The system model was developed in the HOMER software, which unfortunately did not model the desalination plant.The Hexicon (in the design considered in this study) is not able to provide Malta with 9% of the energy demand; this was mainly due to the low wind conditions. In addition to this, it was understood from the literature study that a hydrogen system backup system, i.e. a buffering system, would not be applicable to the scenario initially proposed in this thesis due to the low renewable energy penetration, and also due to the fact that the Hexicon would be connected to the grid, rendering such a system defunct. A micro-grid scenario was assumed and developed.This scenario tried to assess how low the demand would need to be in order to make a hydrogen project feasible. Different percentages were tried and the only one that met the constraints was one with 1.1% of the Maltese demand.The system would consist of a 3MW Fuel Cell, a 4.5MW electrolyser, and hydrogen storage for 10.5tonnes. The NPC of this system would be approx. 130 Million €, with an initial investment of approx. 71 Million €, LCOE of 0.257€.kWh-1, and a Hydrogen cost of approx. 20€.kg-1. While other economic indicators show viability, for example, a short payback time of 3.5 years based on the revenue from the excess electricity, the cost of hydrogen suggests that it is too expensive.",Energy and Environment
"Building sector in Sweden constitutes a major part of the overall energy consumption, making up for around 40% of the total energy use. During the 60s and 70s, there was a big surge in housing in Sweden with over a million dwellings, both single family houses and multi-family apartments, constructed over a period of ten years.These buildings constructed according to the pre-oil crisis standards, suffer from poor energy performance and are in dire need for large scale renovations. This makes it a very interesting area to focus on to meet the Swedish government targets of 50% energy reduction by 2050.This study tries to assess the prevailing situation in multifamily housing sector and focuses on various obstacles and hinders in the path towards achieving long term energy saving goals. A model has been developed using bottom-up approach to study different scenarios for energy use in 2050 based on various renovation possibilities in the building stock.",Energy and Environment
"Hybrid Energy Resource System (HERS) is studied and applied around world in recent years. Control and monitor of them are quite important in real application. HERS also has the equipment to integral with power grid such as distribution grid networks.Therefore, to design and implement the information communication system following IEC 61850, which is most promising standard for design of substation communication and automation system, is necessary.This paper presents the design of Information Communication Technology (ICT) architecture and Unified Modeling Language (UML) models and final implementation through LabVIEW programming for Smart Energy Container. Applying design following IEC61850 series standards allow the HERS can communicate and interoperate with other IEC61850 devices and SCADA systems.The implementation is applied to SmartEnergy Container which contains wind power, solar power, battery energy storage system, and hydrogen energy storage system. Verification and testing results shows the design is qualified to control and monitor Smart Energy Container.",Energy and Environment
"The world’s energy use in buildings (residential and commercial) accounts for around 40% of the worldwide energy consumption, and space heating is the responsible for half of the energy need in the building sector. In Europe, only a small share (less than 10%) of existing buildings was built after 1990. Most of the building stock does not satisfy the recent energy technical standards; in addition there is a very low trend to construct new buildings in the last years.Renovation of the existing buildings is a feasible option to reduce the energy need in Europe, but finding the optimum solutions for a renovation is not a simple task. Each design parameter differently influences the final energy need of buildings and, furthermore, the different variables are differently correlated each other. Building refurbishment will benefit from a tool for the selection of the best measures in term of energy need.This work, through a global sensitivity analysis, aims at determining the contribution of the design parameters to the building energy demand and the correlation between the different variables. The considered parameters are related to the improvement of the thermal transmittance of both the opaque envelope and the windows, the solar transmittance of the glazing surfaces, the window size, the thermal inertia of the internal walls and the external sunshades for windows.Several dynamic simulations have been performed varying the design parameters from different starting conditions. Finally, due to the large number of cases elaborated, an inferential statistical analysis has been performed in order to identify the predominant factors and the correlation between the design parameters in a global context.",Energy and Environment
"Decision making processes of natural resources for sustainable development are very complex processes that contain large amounts of contradicting criteria and alternatives and/or objectives. Hence efficiency of planning and decision making is highly dependent on the structure of the decision problems.In this respect Multi Criteria Decision Aid (MCDA) is the most widely used method. Particularly GIS-based MCDA using the Analytical Hierarchy Process (AHP) is a well-known method in this respect. However, there are inter relationships and inter-dependencies among problems of the real world. As a result, many spatial problems cannot be structured hierarchically because the importance of the criteria determines the importance of the alternatives, and the importance of the alternatives also determines the importance of the criteria.Analytical Network Process (ANP) based MCDA is a new planning and decision making approach that allows the decision problem to be modeled considering feedbacks and interdependence among criteria. This study critically reviews GIS-based MCDA using the AHP method and the ANP based MCDA method and forwarded recommendations for future works.To attain this, practical decision making processes were used of urban form selection for a sustainable development of the Stockholm region. For this purpose literature was reviewed, separate methodologies were developed, criteria were formulated to be analyzed using GIS and SuperDecision software‟s, and finally reasonable results were achieved and separately presented to critically evaluate both the methods and the outcome.This study showed that GIS has the potential to be an important decision aid tool, that the ANP seems to give more realistic results than the GIS-based MCDA method, and that a compact scenario that over time follows already established polycentric pattern would be the best alternative urban form for a sustainable development of Greater Stockholm.",Energy and Environment
